,start_time,end_time,p_values
87,1369010255.327149,1369010265.022461,0.286215
88,1369010299.773438,1369010306.977539,1.0
89,1369011003.406739,1369011012.118408,0.000694
90,1369011171.207764,1369011180.689453,1.0
91,1369011736.317383,1369011744.605713,0.020576
92,1369011879.992188,1369011887.638916,1.0
93,1369012293.711426,1369012302.077148,0.798452
94,1369012341.294922,1369012349.353515,0.032372
95,1369012538.727784,1369012546.609375,1.0
96,1369012908.15564,1369012915.703125,1.0
97,1369012945.950928,1369012953.579101,1.0
98,1369013792.122559,1369013800.863281,0.998613
99,1369014587.692383,1369014595.416504,1.0
100,1369014613.837403,1369014620.98291,0.0
101,1369014745.460938,1369014752.61914,0.0
102,1369014914.273438,1369014921.49707,1.0
103,1369015537.678223,1369015545.415527,1e-06
104,1369018053.148438,1369018061.5,0.859633
105,1369018141.821289,1369018149.627563,1e-06
106,1369018693.738282,1369018700.967285,0.989732
107,1369018742.148926,1369018749.312011,0.739225
108,1369040619.390137,1369040626.816406,0.0
109,1369040934.50708,1369040942.112426,0.010464
110,1369041570.998536,1369041578.264892,0.984936
111,1369042068.522461,1369042075.921875,1.0
112,1369042443.964844,1369042450.985839,1.0
113,1369043258.851685,1369043266.594238,0.999974
114,1369043704.117188,1369043711.191894,1.0
115,1369044055.993409,1369044063.309814,1.0
116,1369044918.083008,1369044925.233886,1.0
117,1369045009.998536,1369045017.121704,1.0
118,1369045065.485596,1369045072.71167,0.0
119,1369045328.692871,1369045337.672363,0.0
120,1369045399.247071,1369045406.545898,0.0
121,1369045632.265137,1369045639.3125,0.0
122,1369045932.710938,1369045940.463379,0.0
123,1369046963.5,1369046971.380859,0.0
124,1369047370.675782,1369047378.308593,0.0
125,1369047936.319825,1369047946.349609,0.0
126,1369048169.831055,1369048180.375,0.0
127,1369048455.785157,1369048464.567382,0.0
128,1369049072.531495,1369049083.114135,0.0
129,1369049709.394043,1369049719.134033,0.0
130,1369050207.109375,1369050215.234375,0.0
131,1369050643.240479,1369050651.399414,0.0
132,1369050788.153321,1369050795.297851,0.0
133,1369051143.359375,1369051150.584961,0.0
134,1369051470.580078,1369051478.414062,0.0
135,1369051718.351563,1369051728.772461,0.0
136,1369052119.104737,1369052127.132324,0.0
137,1369052132.583985,1369052141.076904,0.0
138,1369052570.447754,1369052578.627929,0.0
139,1369052726.296875,1369052733.680175,0.0
140,1369052803.361328,1369052812.346191,0.0
141,1369052845.809754,1369052853.150024,0.0
142,1369053064.484375,1369053072.535156,0.0
143,1369053138.837891,1369053148.111084,0.000165
144,1369053465.75,1369053475.196289,0.015303
145,1369053765.303223,1369053774.107666,0.999981
146,1369054023.118897,1369054030.563476,1.0
147,1369054239.001465,1369054247.000976,0.0
148,1369054508.761719,1369054517.080078,0.0
149,1369055254.596741,1369055263.649414,0.0
150,1369055320.762207,1369055328.376953,0.0
151,1369055779.042969,1369055788.687988,0.0
152,1369055868.495362,1369055876.343017,0.0
153,1369055996.150879,1369056006.098022,0.0
154,1369056293.780518,1369056303.182129,0.0
155,1369057184.701172,1369057192.514648,0.0
156,1369057253.022461,1369057260.620117,0.0
