,start_time,end_time,p_values
163,1238305908.332032,1238305915.953125,1.0
164,1238304272.669923,1238304282.523437,1.0
165,1238317581.2290072,1238317591.144531,4.5e-05
166,1238350479.687495,1238350487.386718,0.018895
167,1238325723.58984,1238325730.6875,1e-06
168,1238366930.2890658,1238366938.104248,1.0
169,1238320287.449215,1238320295.125,1e-06
170,1238320311.878903,1238320319.144531,1.0
171,1238320609.363278,1238320618.21875,0.567286
172,1238321997.6474638,1238322004.945312,1.0
173,1238322140.872555,1238322148.431152,1e-06
174,1238332378.589117,1238332388.125,0.000147
175,1238332438.686522,1238332449.095703,1.0
176,1238332563.864133,1238332572.140625,1.0
177,1238309420.5185552,1238309429.179687,1.0
178,1238311199.6132772,1238311206.728759,1.0
179,1238336740.445316,1238336748.310547,1.0
180,1238327364.5,1238327372.715454,0.997235
181,1238327573.509763,1238327588.0,1e-06
182,1238326830.982916,1238326838.875,0.000968
186,1238378591.6171908,1238378599.41809,1.0
187,1238378614.6220672,1238378622.007812,1.0
188,1238309592.1020539,1238309599.771606,1.0
189,1238309840.695317,1238309849.203125,1e-06
190,1238310055.011717,1238310062.367187,1.0
191,1238355993.905148,1238356001.78247,1.0
192,1238379026.0883758,1238379033.552734,1.0
193,1238341133.115232,1238341142.320312,1.0
194,1238356436.052242,1238356443.661132,1.0
195,1238397828.5319788,1238397835.731445,1.0
196,1238333211.869625,1238333222.484863,1.0
197,1238319314.6435502,1238319323.092773,0.630212
198,1238370158.0117161,1238370172.695556,1.0
199,1238383370.839847,1238383378.884765,1.0
200,1238386610.5537071,1238386618.0,1.0
201,1238324040.614263,1238324049.28125,1.0
202,1238324068.885742,1238324076.511718,1.0
203,1238324128.56348,1238324137.490234,1.0
204,1238324236.71484,1238324245.571045,1.0
205,1238307612.554684,1238307620.773437,0.933224
206,1238302264.8940408,1238302273.536132,1.0
208,1238305478.111328,1238305487.078125,1.0
209,1238478569.773434,1238478577.167968,1e-06
210,1238478718.852536,1238478727.0083,1.0
211,1238478909.718753,1238478922.433593,1.0
212,1238479283.980464,1238479291.712402,1.0
213,1238479315.121091,1238479323.064941,1.0
214,1238462343.554685,1238462351.770752,1.0
