GPStime,snr,ifo,label
1241841727.023,8.649,L1,Air_Compressor
1243349402.695,8.037,L1,Air_Compressor
1241454390.516,8.842,L1,Air_Compressor
1253579329.453,8.369,L1,Air_Compressor
1243713391.461,8.179,L1,Air_Compressor
1241468484.156,7.731,L1,Air_Compressor
1250106486.133,7.97,L1,Air_Compressor
1243775927.008,8.868,L1,Air_Compressor
1243352295.195,10.553,L1,Air_Compressor
1253285625.402,7.968,L1,Air_Compressor
1253888338.195,8.346,L1,Air_Compressor
1243691835.539,10.41,L1,Air_Compressor
1244193863.266,7.514,L1,Air_Compressor
1253560967.602,7.744,L1,Air_Compressor
1250258251.82,10.956,L1,Air_Compressor
1243433501.008,8.137,L1,Air_Compressor
1248392825.852,7.705,L1,Air_Compressor
1246832448.984,7.83,L1,Air_Compressor
1243626989.023,9.838,L1,Air_Compressor
1240775438.539,8.674,L1,Air_Compressor
1245996247.313,11.8,L1,Air_Compressor
1252413956.18,7.777,L1,Air_Compressor
1248770479.477,10.726,L1,Air_Compressor
1243355112.445,8.809,L1,Air_Compressor
1243349395.227,8.215,L1,Air_Compressor
1243710667.977,8.1,L1,Air_Compressor
1253562405.203,8.095,L1,Air_Compressor
1244980983.867,8.806,L1,Air_Compressor
1248398699.969,8.517,L1,Air_Compressor
1240952108.242,9.116,L1,Air_Compressor
1243349386.523,13.609,L1,Air_Compressor
1241473616.328,12.765,L1,Air_Compressor
1241460408.305,8.222,L1,Air_Compressor
1242308121.578,7.71,L1,Air_Compressor
1244388989.758,7.995,L1,Air_Compressor
1240769964.211,8.637,L1,Air_Compressor
1245768005.641,8.437,L1,Air_Compressor
1251787969.383,10.347,L1,Air_Compressor
1243627000.383,8.993,L1,Air_Compressor
1252438768.414,8.848,L1,Air_Compressor
1243164508.938,7.683,L1,Air_Compressor
1238339813.391,9.098,L1,Air_Compressor
1241454470.383,7.684,L1,Air_Compressor
1250902053.578,9.286,L1,Air_Compressor
1243378189.391,8.038,L1,Air_Compressor
1250258706.93,8.302,L1,Air_Compressor
1242314446.523,9.1,L1,Air_Compressor
1249118781.703,8.182,L1,Air_Compressor
1241469674.422,8.796,L1,Air_Compressor
1243691874.867,10.821,L1,Air_Compressor
1244295957.039,7.589,L1,Air_Compressor
1240952126.648,10.293,L1,Air_Compressor
1253893524.383,7.513,L1,Air_Compressor
1243608186.477,12.678,L1,Air_Compressor
1241683488.547,8.618,L1,Air_Compressor
1242133258.695,8.375,L1,Air_Compressor
1250258715.648,8.38,L1,Air_Compressor
1241014590.313,8.108,L1,Air_Compressor
1243627005.664,8.252,L1,Air_Compressor
1253747788.7,8.82,L1,Blip
1249351697.979,10.141,L1,Blip
1244615357.255,10.493,L1,Blip
1242810618.835,25.638,L1,Blip
1250377998.135,10.728,L1,Blip
1245039925.08,17.582,L1,Blip
1240324898.373,9.523,L1,Blip
1252614604.124,12.774,L1,Blip
1243121614.062,11.437,L1,Blip
1241607287.524,9.144,L1,Blip
1242194479.143,14.154,L1,Blip
1248634704.268,54.118,L1,Blip
1240399756.538,26.863,L1,Blip
1251277486.267,10.536,L1,Blip
1247903330.149,87.719,L1,Blip
1244336825.711,10.028,L1,Blip
1242550240.009,7.773,L1,Blip
1253507629.705,53.789,L1,Blip
1244190035.021,33.552,L1,Blip
1242420993.84,16.828,L1,Blip
1251817091.581,7.891,L1,Blip
1244025464.314,8.071,L1,Blip
1240218134.469,22.675,L1,Blip
1244134676.831,8.104,L1,Blip
1253571939.926,51.224,L1,Blip
1239835122.112,27.586,L1,Blip
1248263902.0,22.813,L1,Blip
1238829125.216,10.149,L1,Blip
1252323380.731,12.343,L1,Blip
1252545949.754,25.813,L1,Blip
1238327067.281,29.19,L1,Blip
1249359134.729,13.806,L1,Blip
1240571299.929,9.477,L1,Blip
1253438009.161,11.268,L1,Blip
1252125173.619,18.604,L1,Blip
1243547894.313,8.818,L1,Blip
1246844109.278,13.959,L1,Blip
1238400839.245,13.488,L1,Blip
1246496852.016,13.914,L1,Blip
1242028826.719,8.042,L1,Blip
1242344246.017,20.591,L1,Blip
1242472415.772,17.179,L1,Blip
1249510220.487,8.076,L1,Blip
1248378259.207,22.277,L1,Blip
1244806314.111,29.308,L1,Blip
1243553165.192,13.253,L1,Blip
1243220224.43,9.985,L1,Blip
1241634404.579,85.58,L1,Blip
1250022622.413,10.405,L1,Blip
1252106001.466,27.274,L1,Blip
1253790963.188,10.026,L1,Blip
1245995185.237,7.731,L1,Blip
1242556896.728,12.086,L1,Blip
1250464980.589,12.212,L1,Blip
1238616190.362,12.216,L1,Blip
1241905194.032,8.946,L1,Blip
1248386566.464,14.214,L1,Blip
1240942776.231,14.203,L1,Blip
1238247412.777,10.528,L1,Blip
1239731531.911,16.766,L1,Blip
1250379880.423,14.819,L1,Blip
1238785232.079,19.769,L1,Blip
1246665470.288,8.95,L1,Blip
1241966425.154,14.159,L1,Blip
1244235845.435,24.328,L1,Blip
1252514506.378,14.661,L1,Blip
1241479596.038,29.524,L1,Blip
